zip,city,state,vertical,payoutFloor,pricingModel,isFlatRate,coverageZipCount,sourceRefreshedAt
10001,New York,NY,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
10001,New York,NY,hvac-repair,34.34,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
10001,New York,NY,garage-door-repair,21.41,CPL,false,72,2026-09-04T00:00:00.000Z
90001,Los Angeles,CA,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
90001,Los Angeles,CA,hvac-repair,44.57,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
90001,Los Angeles,CA,roofing-replacement,172.17,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
90001,Los Angeles,CA,garage-door-repair,19.18,CPL,false,72,2026-09-04T00:00:00.000Z
60601,Chicago,IL,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
60601,Chicago,IL,hvac-repair,38.57,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
60601,Chicago,IL,roofing-replacement,203.76,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
60601,Chicago,IL,garage-door-repair,21.5,CPL,false,72,2026-09-04T00:00:00.000Z
77002,Houston,TX,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
77002,Houston,TX,hvac-repair,41.58,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
77002,Houston,TX,roofing-replacement,177.44,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
77002,Houston,TX,garage-door-repair,21.61,CPL,false,72,2026-09-04T00:00:00.000Z
85001,Phoenix,AZ,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
85001,Phoenix,AZ,hvac-repair,45.72,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
85001,Phoenix,AZ,roofing-replacement,181.45,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
85001,Phoenix,AZ,garage-door-repair,16.93,CPL,false,72,2026-09-04T00:00:00.000Z
19102,Philadelphia,PA,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
19102,Philadelphia,PA,hvac-repair,34.35,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
19102,Philadelphia,PA,roofing-replacement,221.62,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
19102,Philadelphia,PA,garage-door-repair,19.76,CPL,false,72,2026-09-04T00:00:00.000Z
78201,San Antonio,TX,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
78201,San Antonio,TX,hvac-repair,27.11,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
78201,San Antonio,TX,roofing-replacement,138.53,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
78201,San Antonio,TX,garage-door-repair,15.7,CPL,false,72,2026-09-04T00:00:00.000Z
92101,San Diego,CA,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
92101,San Diego,CA,hvac-repair,35.21,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
92101,San Diego,CA,roofing-replacement,201.48,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
92101,San Diego,CA,garage-door-repair,15.8,CPL,false,72,2026-09-04T00:00:00.000Z
75201,Dallas,TX,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
75201,Dallas,TX,hvac-repair,38.48,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
75201,Dallas,TX,garage-door-repair,16.85,CPL,false,72,2026-09-04T00:00:00.000Z
78701,Austin,TX,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
78701,Austin,TX,hvac-repair,46.29,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
78701,Austin,TX,roofing-replacement,197.13,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
78701,Austin,TX,garage-door-repair,15.77,CPL,false,72,2026-09-04T00:00:00.000Z
95101,San Jose,CA,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
95101,San Jose,CA,hvac-repair,32.02,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
95101,San Jose,CA,roofing-replacement,188.82,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
95101,San Jose,CA,garage-door-repair,13.94,CPL,false,72,2026-09-04T00:00:00.000Z
76102,Fort Worth,TX,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
76102,Fort Worth,TX,hvac-repair,36.67,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
76102,Fort Worth,TX,roofing-replacement,130.9,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
76102,Fort Worth,TX,garage-door-repair,13.75,CPL,false,72,2026-09-04T00:00:00.000Z
32202,Jacksonville,FL,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
32202,Jacksonville,FL,hvac-repair,27.5,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
32202,Jacksonville,FL,roofing-replacement,117.39,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
32202,Jacksonville,FL,garage-door-repair,14.29,CPL,false,72,2026-09-04T00:00:00.000Z
43215,Columbus,OH,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
43215,Columbus,OH,hvac-repair,34.15,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
43215,Columbus,OH,roofing-replacement,127.16,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
43215,Columbus,OH,garage-door-repair,14.73,CPL,false,72,2026-09-04T00:00:00.000Z
28202,Charlotte,NC,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
28202,Charlotte,NC,hvac-repair,29.55,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
28202,Charlotte,NC,roofing-replacement,130.1,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
28202,Charlotte,NC,garage-door-repair,15.2,CPL,false,72,2026-09-04T00:00:00.000Z
94102,San Francisco,CA,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
94102,San Francisco,CA,hvac-repair,55.34,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
94102,San Francisco,CA,roofing-replacement,192.66,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
94102,San Francisco,CA,garage-door-repair,16.98,CPL,false,72,2026-09-04T00:00:00.000Z
46201,Indianapolis,IN,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
46201,Indianapolis,IN,hvac-repair,30.44,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
46201,Indianapolis,IN,garage-door-repair,11.86,CPL,false,72,2026-09-04T00:00:00.000Z
98101,Seattle,WA,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
98101,Seattle,WA,hvac-repair,44.42,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
98101,Seattle,WA,roofing-replacement,207.69,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
98101,Seattle,WA,garage-door-repair,20.32,CPL,false,72,2026-09-04T00:00:00.000Z
80202,Denver,CO,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
80202,Denver,CO,hvac-repair,48.47,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
80202,Denver,CO,roofing-replacement,166.08,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
80202,Denver,CO,garage-door-repair,22.04,CPL,false,72,2026-09-04T00:00:00.000Z
20001,Washington,DC,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
20001,Washington,DC,hvac-repair,40.96,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
20001,Washington,DC,roofing-replacement,226.05,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
20001,Washington,DC,garage-door-repair,16.52,CPL,false,72,2026-09-04T00:00:00.000Z
37201,Nashville,TN,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
37201,Nashville,TN,hvac-repair,30.97,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
37201,Nashville,TN,roofing-replacement,97.55,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
37201,Nashville,TN,garage-door-repair,13.3,CPL,false,72,2026-09-04T00:00:00.000Z
73102,Oklahoma City,OK,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
73102,Oklahoma City,OK,hvac-repair,32.78,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
73102,Oklahoma City,OK,roofing-replacement,145.64,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
73102,Oklahoma City,OK,garage-door-repair,16.01,CPL,false,72,2026-09-04T00:00:00.000Z
79901,El Paso,TX,water-damage-restoration,38,PER_CALL_DURATION,true,72,2026-09-04T00:00:00.000Z
79901,El Paso,TX,hvac-repair,22.05,PER_CALL_DURATION,false,72,2026-09-04T00:00:00.000Z
79901,El Paso,TX,roofing-replacement,102.51,PER_APPOINTMENT,false,63,2026-09-04T00:00:00.000Z
79901,El Paso,TX,garage-door-repair,10.41,CPL,false,72,2026-09-04T00:00:00.000Z
