zip,vertical,keyword,searchVolume,keywordDifficulty,cpc
10001,water-damage-restoration,"water damage restoration new york",121,31,16.51
10001,hvac-repair,"hvac repair new york",1499,40,17.81
10001,garage-door-repair,"garage door repair new york",499,11,8.41
90001,water-damage-restoration,"water damage restoration los angeles",71,30,11.97
90001,hvac-repair,"hvac repair los angeles",1573,23,21.65
90001,roofing-replacement,"roofing replacement los angeles",1545,61,31.28
90001,garage-door-repair,"garage door repair los angeles",376,24,11.11
60601,water-damage-restoration,"water damage restoration chicago",80,27,16.79
60601,hvac-repair,"hvac repair chicago",1639,23,17.4
60601,roofing-replacement,"roofing replacement chicago",1384,73,45.57
60601,garage-door-repair,"garage door repair chicago",548,22,10.52
77002,water-damage-restoration,"water damage restoration houston",102,30,12.22
77002,hvac-repair,"hvac repair houston",1165,28,16.41
77002,roofing-replacement,"roofing replacement houston",2379,64,39.19
77002,garage-door-repair,"garage door repair houston",588,16,10.83
85001,water-damage-restoration,"water damage restoration phoenix",118,30,11.79
85001,hvac-repair,"hvac repair phoenix",1104,30,22.68
85001,roofing-replacement,"roofing replacement phoenix",1674,78,29.71
85001,garage-door-repair,"garage door repair phoenix",325,20,8.49
19102,water-damage-restoration,"water damage restoration philadelphia",67,29,16.62
19102,hvac-repair,"hvac repair philadelphia",1106,20,14.58
19102,roofing-replacement,"roofing replacement philadelphia",1415,66,46.33
19102,garage-door-repair,"garage door repair philadelphia",614,17,8.99
78201,water-damage-restoration,"water damage restoration san antonio",79,28,12.1
78201,hvac-repair,"hvac repair san antonio",542,35,14.79
78201,roofing-replacement,"roofing replacement san antonio",789,59,27.48
78201,garage-door-repair,"garage door repair san antonio",167,24,7.04
92101,water-damage-restoration,"water damage restoration san diego",100,25,11.52
92101,hvac-repair,"hvac repair san diego",1449,41,17.35
92101,roofing-replacement,"roofing replacement san diego",1463,65,37.64
92101,garage-door-repair,"garage door repair san diego",448,16,9.1
75201,water-damage-restoration,"water damage restoration dallas",87,24,13.97
75201,hvac-repair,"hvac repair dallas",1638,21,14.48
75201,garage-door-repair,"garage door repair dallas",407,14,8.7
78701,water-damage-restoration,"water damage restoration austin",116,31,14.91
78701,hvac-repair,"hvac repair austin",1318,33,16.33
78701,roofing-replacement,"roofing replacement austin",2325,65,41.74
78701,garage-door-repair,"garage door repair austin",589,18,9.51
95101,water-damage-restoration,"water damage restoration san jose",80,29,14.5
95101,hvac-repair,"hvac repair san jose",538,30,12.95
95101,roofing-replacement,"roofing replacement san jose",728,51,22.08
95101,garage-door-repair,"garage door repair san jose",239,16,6.09
76102,water-damage-restoration,"water damage restoration fort worth",81,26,12.2
76102,hvac-repair,"hvac repair fort worth",778,19,14.49
76102,roofing-replacement,"roofing replacement fort worth",982,55,26.43
76102,garage-door-repair,"garage door repair fort worth",171,19,5.69
32202,water-damage-restoration,"water damage restoration jacksonville",70,31,12.06
32202,hvac-repair,"hvac repair jacksonville",678,28,17.02
32202,roofing-replacement,"roofing replacement jacksonville",840,52,31.38
32202,garage-door-repair,"garage door repair jacksonville",260,16,6.08
43215,water-damage-restoration,"water damage restoration columbus",102,32,17.04
43215,hvac-repair,"hvac repair columbus",773,37,16.06
43215,roofing-replacement,"roofing replacement columbus",625,47,21.9
43215,garage-door-repair,"garage door repair columbus",309,21,6.94
28202,water-damage-restoration,"water damage restoration charlotte",93,26,14.74
28202,hvac-repair,"hvac repair charlotte",820,26,14.37
28202,roofing-replacement,"roofing replacement charlotte",1077,58,30.15
28202,garage-door-repair,"garage door repair charlotte",158,18,8.47
94102,water-damage-restoration,"water damage restoration san francisco",73,25,10.88
94102,hvac-repair,"hvac repair san francisco",1328,25,22.19
94102,roofing-replacement,"roofing replacement san francisco",2249,73,29.57
94102,garage-door-repair,"garage door repair san francisco",626,16,9.49
46201,water-damage-restoration,"water damage restoration indianapolis",79,28,16.07
46201,hvac-repair,"hvac repair indianapolis",755,38,13.62
46201,garage-door-repair,"garage door repair indianapolis",186,12,6.98
98101,water-damage-restoration,"water damage restoration seattle",72,30,14.37
98101,hvac-repair,"hvac repair seattle",1500,40,20.27
98101,roofing-replacement,"roofing replacement seattle",2102,66,31.52
98101,garage-door-repair,"garage door repair seattle",330,11,10.23
80202,water-damage-restoration,"water damage restoration denver",62,24,11.04
80202,hvac-repair,"hvac repair denver",1192,30,18.54
80202,roofing-replacement,"roofing replacement denver",1292,76,46.79
80202,garage-door-repair,"garage door repair denver",473,18,8.44
20001,water-damage-restoration,"water damage restoration washington",64,32,14.53
20001,hvac-repair,"hvac repair washington",992,22,15.01
20001,roofing-replacement,"roofing replacement washington",1214,64,42.34
20001,garage-door-repair,"garage door repair washington",553,16,7.7
37201,water-damage-restoration,"water damage restoration nashville",84,30,11.32
37201,hvac-repair,"hvac repair nashville",497,29,18.34
37201,roofing-replacement,"roofing replacement nashville",747,45,21.62
37201,garage-door-repair,"garage door repair nashville",318,19,8.75
73102,water-damage-restoration,"water damage restoration oklahoma city",88,27,13.4
