zip,city,state,lat,lon,confidenceNote
77494,Katy,TX,29.744657,-95.815536,census_acs5_population_real
08701,Lakewood,NJ,40.077069,-74.19851,census_acs5_population_real
77449,Houston,TX,29.837611,-95.73374,census_acs5_population_real
78660,Pflugerville,TX,30.43963,-97.594687,census_acs5_population_real
77433,Houston,TX,29.945301,-95.741369,census_acs5_population_real
60629,Chicago,IL,41.775414,-87.711487,census_acs5_population_real
77084,Houston,TX,29.827486,-95.65992,census_acs5_population_real
11368,New York,NY,40.749737,-73.853045,census_acs5_population_real
11208,New York,NY,40.674847,-73.87248,census_acs5_population_real
79936,El Paso,TX,31.773676,-106.295415,census_acs5_population_real
11385,New York,NY,40.700647,-73.889423,census_acs5_population_real
92336,Fontana,CA,34.136862,-117.460336,census_acs5_population_real
90011,Los Angeles,CA,34.00709,-118.258681,census_acs5_population_real
37013,Nashville-Davidson metropolitan government (balance),TN,36.052592,-86.630295,census_acs5_population_real
90650,Norwalk,CA,33.90779,-118.082487,census_acs5_population_real
30044,Lawrenceville,GA,33.921502,-84.068873,census_acs5_population_real
11226,New York,NY,40.646409,-73.956663,census_acs5_population_real
94565,Pittsburg,CA,38.008595,-121.928315,census_acs5_population_real
11373,New York,NY,40.738945,-73.878561,census_acs5_population_real
91331,Los Angeles,CA,34.255294,-118.419703,census_acs5_population_real
77573,League City,TX,29.503785,-95.0873,census_acs5_population_real
79938,Homestead Meadows North,TX,31.845514,-106.019659,census_acs5_population_real
10467,New York,NY,40.875262,-73.872027,census_acs5_population_real
77429,Houston,TX,29.995758,-95.665088,census_acs5_population_real
90044,Los Angeles,CA,33.952653,-118.292013,census_acs5_population_real
78130,New Braunfels,TX,29.693649,-98.068676,census_acs5_population_real
75052,Grand Prairie,TX,32.664684,-97.029478,census_acs5_population_real
92335,Fontana,CA,34.087333,-117.465158,census_acs5_population_real
11236,New York,NY,40.639413,-73.900664,census_acs5_population_real
90250,Hawthorne,CA,33.913651,-118.350946,census_acs5_population_real
11219,New York,NY,40.63262,-73.99677,census_acs5_population_real
90805,Long Beach,CA,33.864617,-118.180567,census_acs5_population_real
90201,Bell Gardens,CA,33.970343,-118.171368,census_acs5_population_real
10314,New York,NY,40.600699,-74.164314,census_acs5_population_real
91342,Los Angeles,CA,34.326584,-118.382261,census_acs5_population_real
11207,New York,NY,40.670157,-73.893835,census_acs5_population_real
78641,Leander,TX,30.557918,-97.913672,census_acs5_population_real
00926,San Juan zona urbana,PR,18.348601,-66.053929,census_acs5_population_real
10025,New York,NY,40.798251,-73.968336,census_acs5_population_real
34787,Horizon West,FL,28.485174,-81.619415,census_acs5_population_real
77479,Sugar Land,TX,29.56504,-95.635059,census_acs5_population_real
60618,Chicago,IL,41.947568,-87.702647,census_acs5_population_real
90280,South Gate,CA,33.944159,-118.192761,census_acs5_population_real
78245,San Antonio,TX,29.39317,-98.74144,census_acs5_population_real
77584,Pearland,TX,29.545041,-95.350692,census_acs5_population_real
11220,New York,NY,40.641026,-74.016688,census_acs5_population_real
11221,New York,NY,40.691426,-73.927626,census_acs5_population_real
92683,Westminster,CA,33.752428,-117.99387,census_acs5_population_real
11206,New York,NY,40.70187,-73.942552,census_acs5_population_real
78613,Cedar Park,TX,30.507079,-97.819464,census_acs5_population_real
30043,Lawrenceville,GA,34.010038,-84.005043,census_acs5_population_real
11214,New York,NY,40.59969,-73.996372,census_acs5_population_real
11230,New York,NY,40.622089,-73.96519,census_acs5_population_real
